[22, 75, 81, 137, 125, 127, 5, 84, 24, 37, 129, 116]
[109, 143, 95, 52, 140, 16, 113, 126, 77, 23, 94, 99]
[20, 35, 110, 112, 59, 135, 97, 38, 72, 96, 124, 83]
[115, 131, 65, 30, 82, 47, 12, 26, 79, 33, 80, 54]
[25, 29, 7, 123, 102, 130, 15, 45, 57, 51, 119, 27]
[32, 118, 14, 105, 85, 44, 60, 101, 3, 64, 11, 133]
[8, 9, 36, 21, 41, 76, 42, 104, 10, 138, 139, 92]
[103, 106, 70, 67, 73, 2, 98, 90, 121, 107, 100, 50]
[18, 62, 93, 88, 49, 40, 66, 0, 48, 87, 28, 111]
[89, 43, 120, 46, 117, 71, 13, 1, 136, 4, 122, 39]
[86, 108, 142, 132, 91, 53, 78, 74, 19, 58, 56, 114]
[134, 68, 34, 69, 55, 128, 31, 61, 17, 141, 6, 63]

[2, 2, 4, 1, 1, 1, 3, 2, 5, 3, 3, 0]
[2, 4, 1, 3, 5, 1, 7, 1, 3, 0, 2, 2]
[4, 2, 0, 1, 3, 2, 5, 3, 2, 1, 7, 4]
[5, 0, 3, 4, 1, 3, 2, 7, 4, 4, 0, 1]
[2, 2, 3, 7, 5, 3, 5, 5, 2, 4, 3, 5]
[0, 1, 3, 7, 3, 2, 1, 0, 2, 1, 4, 3]
[1, 7, 1, 3, 7, 3, 1, 5, 5, 4, 4, 3]
[4, 3, 1, 5, 2, 5, 5, 0, 4, 4, 3, 5]
[0, 2, 1, 0, 7, 0, 0, 2, 5, 4, 2, 3]
[3, 5, 5, 0, 7, 3, 0, 4, 0, 0, 0, 3]
[1, 5, 4, 1, 3, 0, 2, 7, 0, 0, 4, 5]
[2, 5, 0, 3, 2, 5, 3, 2, 2, 0, 1, 5]
